City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Castro,BR,69.84,few clouds,-24.7911,-50.0119,CHACARA BAILLY
3,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
5,Barra Do Corda,BR,73.26,moderate rain,-5.5,-45.25,Belchior Palace Hotel
8,Rikitea,PF,71.08,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Saint-Philippe,RE,71.19,few clouds,-21.3585,55.7679,Le four à pain
10,Atuona,PF,77.09,clear sky,-9.8,-139.0333,Villa Enata
13,Kalmunai,LK,75.27,overcast clouds,7.4167,81.8167,VS Villa
16,Nizwa,OM,71.26,clear sky,22.9333,57.5333,Orient Apartments
18,Vaini,TO,77.07,overcast clouds,-21.2,-175.2,Keleti Beach Resort
24,Manama,BH,76.98,clear sky,26.2154,50.5832,Al Safir Hotel
29,Hobyo,SO,80.73,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
31,Dwarka,IN,77.27,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
33,Flinders,AU,75.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
36,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
38,Paracuru,BR,80.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
41,Namibe,AO,71.62,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
45,San Policarpo,PH,78.21,moderate rain,12.1791,125.5072,Agapita M. Nicart
50,Sinnamary,GF,80.74,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
51,Ponta Do Sol,PT,66.83,broken clouds,32.6667,-17.1,Hotel do Campo
53,Tangkak,MY,77.16,overcast clouds,2.2673,102.5453,Lakeside Village Homestay 水乡民宿
56,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Benguela,AO,76.91,light rain,-12.5763,13.4055,Hotel Praia Morena
67,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
68,Arraial Do Cabo,BR,73.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
69,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
73,Hilo,US,82.26,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
74,Calama,CL,75.69,clear sky,-22.4667,-68.9333,Park Hotel Calama
75,Mareeba,AU,75.92,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
77,Kununurra,AU,82.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
78,Mahibadhoo,MV,79.9,broken clouds,3.7833,72.9667,Omadhoo Inn
79,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
91,El Alto,PE,69.46,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
96,Maningrida,AU,82.35,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
