City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,64.8,94,75,13.0,light intensity drizzle
1,Jamestown,US,42.097,-79.2353,28.02,49,75,13.8,broken clouds
2,Castro,BR,-24.7911,-50.0119,69.84,63,15,4.7,few clouds
3,Mahebourg,MU,-20.4081,57.7,70.09,83,20,3.44,few clouds
4,Provideniya,RU,64.3833,-173.3,25.56,84,100,6.11,overcast clouds
5,Barra Do Corda,BR,-5.5,-45.25,73.26,96,100,4.32,moderate rain
6,Bluff,NZ,-46.6,168.3333,58.8,83,64,8.95,broken clouds
7,Shingu,JP,33.7333,135.9833,62.47,90,97,17.87,light rain
8,Rikitea,PF,-23.1203,-134.9692,71.08,67,93,9.28,overcast clouds
9,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,24,8.72,few clouds
10,Atuona,PF,-9.8,-139.0333,77.09,74,10,10.89,clear sky
11,Cherskiy,RU,68.75,161.3,-9.69,97,100,13.2,light snow
12,Tikapur,NP,28.5,81.1333,58.98,77,0,2.86,clear sky
13,Kalmunai,LK,7.4167,81.8167,75.27,88,100,11.16,overcast clouds
14,Hauterive,FR,46.0901,3.4459,45.36,85,94,4.12,overcast clouds
15,Acapetahua,MX,15.2833,-92.7,86.47,61,17,4.38,light rain
16,Nizwa,OM,22.9333,57.5333,71.26,46,0,3.8,clear sky
17,Nanortalik,GL,60.1432,-45.2371,30.56,82,100,10.27,overcast clouds
18,Vaini,TO,-21.2,-175.2,77.07,71,94,6.4,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,51.91,37,20,28.77,few clouds
20,Ushuaia,AR,-54.8,-68.3,47.86,57,40,27.63,scattered clouds
21,Torbay,CA,47.6666,-52.7314,36.27,93,75,9.22,light rain
22,Hobart,AU,-42.8794,147.3294,55.26,88,100,10.36,overcast clouds
23,Kostomuksha,RU,64.571,30.5767,19.8,98,53,1.14,broken clouds
24,Manama,BH,26.2154,50.5832,76.98,57,0,19.57,clear sky
25,Hasaki,JP,35.7333,140.8333,52.21,59,100,10.76,overcast clouds
26,Quarai,BR,-30.3875,-56.4514,95.81,16,10,15.82,clear sky
27,Vostok,RU,46.4856,135.8833,23.43,89,100,5.06,light snow
28,Busselton,AU,-33.65,115.3333,54.25,81,76,7.38,broken clouds
29,Hobyo,SO,5.3505,48.5268,80.73,74,2,6.69,clear sky
30,Shu,KZ,43.5983,73.7614,41.77,90,52,8.34,broken clouds
31,Dwarka,IN,22.2394,68.9678,77.27,51,0,7.16,clear sky
