City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-11-17 00:48:14,-21.2,-175.2,82.56,69,20,6.91
1,Nizhniy Bestyakh,RU,2022-11-17 00:48:15,61.9594,129.9086,-38.52,73,41,4.47
2,Upernavik,GL,2022-11-17 00:48:15,72.7868,-56.1549,11.68,93,99,13.98
3,Atuona,PF,2022-11-17 00:48:16,-9.8,-139.0333,78.21,76,1,14.12
4,East London,ZA,2022-11-17 00:48:16,-33.0153,27.9116,64.98,79,100,2.19
5,Puerto Ayora,EC,2022-11-17 00:45:40,-0.7393,-90.3518,69.55,90,100,7.0
6,Bhimunipatnam,IN,2022-11-17 00:48:17,17.8833,83.4333,65.71,69,0,5.75
7,Qaanaaq,GL,2022-11-17 00:48:17,77.484,-69.3632,-4.22,93,100,4.92
8,Rafaela,AR,2022-11-17 00:48:18,-31.2503,-61.4867,79.99,25,88,1.01
9,Mataura,NZ,2022-11-17 00:48:18,-46.1927,168.8643,58.48,85,100,2.8
10,Nikolskoye,RU,2022-11-17 00:48:19,59.7035,30.7861,33.69,86,100,7.16
11,Hithadhoo,MV,2022-11-17 00:48:19,-0.6,73.0833,80.8,77,100,10.29
12,Salisbury,GB,2022-11-17 00:48:20,51.0693,-1.7957,47.53,95,100,20.71
13,Palmer,US,2022-11-17 00:47:42,42.1584,-72.3287,42.35,72,40,12.66
14,Provideniya,RU,2022-11-17 00:48:20,64.3833,-173.3,37.51,81,100,15.99
15,Ternate,ID,2022-11-17 00:48:21,0.8,127.4,83.21,74,99,6.15
16,Ostrovnoy,RU,2022-11-17 00:48:21,68.0531,39.5131,30.15,87,99,8.34
17,Pevek,RU,2022-11-17 00:45:39,69.7008,170.3133,6.62,95,100,6.11
18,Ushuaia,AR,2022-11-17 00:43:50,-54.8,-68.3,49.66,62,75,2.3
19,Salinopolis,BR,2022-11-17 00:48:23,-0.6136,-47.3561,79.59,76,91,8.63
20,San Lawrenz,MT,2022-11-17 00:48:23,36.0553,14.204,64.85,84,100,11.25
21,Cape Town,ZA,2022-11-17 00:45:00,-33.9258,18.4232,61.27,72,0,14.97
22,Hobart,AU,2022-11-17 00:48:24,-42.8794,147.3294,57.06,73,75,12.66
23,Lerwick,GB,2022-11-17 00:48:25,60.1545,-1.1494,48.2,89,100,43.98
24,Batagay-Alyta,RU,2022-11-17 00:48:25,67.8006,130.4114,-28.93,91,31,2.91
25,Kaduna,NG,2022-11-17 00:45:22,10.5222,7.4383,67.21,37,4,6.22
26,Snyder,US,2022-11-17 00:48:26,32.7179,-100.9176,46.74,34,100,3.44
27,Albany,US,2022-11-17 00:44:24,42.6001,-73.9662,38.37,90,47,8.75
28,Brae,GB,2022-11-17 00:48:27,60.3964,-1.353,46.96,88,100,39.95
29,Doljo,PH,2022-11-17 00:48:27,9.5875,123.7303,82.8,75,100,13.13
30,Ilulissat,GL,2022-11-17 00:44:13,69.2167,-51.1,15.82,73,100,8.05
31,Punta Arenas,CL,2022-11-17 00:48:28,-53.15,-70.9167,50.11,66,0,9.22
32,Cidreira,BR,2022-11-17 00:46:44,-30.1811,-50.2056,66.97,59,0,4.7
33,Camacha,PT,2022-11-17 00:48:28,33.0833,-16.3333,65.62,94,40,6.91
34,Hermanus,ZA,2022-11-17 00:48:29,-34.4187,19.2345,52.81,72,97,4.59
35,Sao Miguel Do Araguaia,BR,2022-11-17 00:48:29,-13.275,-50.1628,76.08,74,18,3.6
36,New Norfolk,AU,2022-11-17 00:48:30,-42.7826,147.0587,56.71,55,100,1.01
37,Chuy,UY,2022-11-17 00:48:30,-33.6971,-53.4616,61.18,81,0,5.48
38,Chokurdakh,RU,2022-11-17 00:48:31,70.6333,147.9167,-22.88,100,87,4.81
39,Mongu,ZM,2022-11-17 00:48:31,-15.2484,23.1274,70.32,81,100,4.5
40,Pandan,PH,2022-11-17 00:48:32,14.0453,124.1694,82.56,84,96,8.03
41,Zhigansk,RU,2022-11-17 00:48:32,66.7697,123.3711,-17.28,89,100,12.44
42,Urumqi,CN,2022-11-17 00:48:32,43.801,87.6005,32.95,87,75,6.71
43,Domoni,KM,2022-11-17 00:48:33,-12.2569,44.5319,75.81,85,100,4.88
44,Sao Joao Da Barra,BR,2022-11-17 00:48:33,-21.6403,-41.0511,73.49,91,82,20.45
45,Hualmay,PE,2022-11-17 00:49:34,-11.0964,-77.6139,64.71,84,100,9.35
46,Dikson,RU,2022-11-17 00:49:34,73.5069,80.5464,0.16,96,100,15.08
47,Bredasdorp,ZA,2022-11-17 00:49:34,-34.5322,20.0403,55.38,72,100,3.15
48,Wilmington,US,2022-11-17 00:47:34,34.2257,-77.9447,53.51,84,0,4.61
49,Port Alfred,ZA,2022-11-17 00:49:35,-33.5906,26.891,62.19,94,98,6.31
50,Shenjiamen,CN,2022-11-17 00:49:35,29.9576,122.298,63.41,95,100,8.88
51,Donskoye,RU,2022-11-17 00:49:36,45.4552,41.9741,42.93,49,100,5.08
52,Pisco,PE,2022-11-17 00:49:36,-13.7,-76.2167,64.45,82,0,18.41
53,Broken Hill,AU,2022-11-17 00:49:36,-31.95,141.4333,61.47,37,0,8.68
54,Kapaa,US,2022-11-17 00:49:37,22.0752,-159.319,80.58,66,40,10.36
55,Praia Da Vitoria,PT,2022-11-17 00:49:37,38.7333,-27.0667,62.85,82,75,16.93
56,Shihezi,CN,2022-11-17 00:49:38,44.3,86.0333,35.24,92,100,6.87
57,Rio Gallegos,AR,2022-11-17 00:49:38,-51.6226,-69.2181,53.65,62,0,36.82
58,Show Low,US,2022-11-17 00:49:38,34.2542,-110.0298,34.07,39,0,5.75
59,Sept-Iles,CA,2022-11-17 00:45:14,50.2001,-66.3821,26.6,86,100,11.5
60,Saint-Philippe,RE,2022-11-17 00:49:39,-21.3585,55.7679,65.79,75,16,6.58
61,Jamestown,US,2022-11-17 00:49:39,42.097,-79.2353,34.02,71,100,16.11
62,Zorya,UA,2022-11-17 00:49:40,45.9908,29.6967,42.49,77,97,0.65
63,Avarua,CK,2022-11-17 00:49:40,-21.2078,-159.775,80.65,61,38,14.97
64,Mana,GF,2022-11-17 00:49:41,5.6592,-53.7767,78.08,88,100,8.72
65,Grand Gaube,MU,2022-11-17 00:48:44,-20.0064,57.6608,68.4,72,56,3.0
66,Busselton,AU,2022-11-17 00:49:41,-33.65,115.3333,59.9,70,98,19.35
67,Fare,PF,2022-11-17 00:49:37,-16.7,-151.0167,79.23,74,100,4.21
68,Callaway,US,2022-11-17 00:49:42,30.153,-85.5699,53.53,69,0,11.5
69,Thompson,CA,2022-11-17 00:45:23,55.7435,-97.8558,15.96,92,100,11.5
70,West Bay,KY,2022-11-17 00:49:42,19.3667,-81.4167,82.47,82,20,10.36
71,Butaritari,KI,2022-11-17 00:49:43,3.0707,172.7902,81.18,73,20,17.58
72,Longyearbyen,SJ,2022-11-17 00:49:43,78.2186,15.6401,22.84,68,20,13.8
73,Quatre Cocos,MU,2022-11-17 00:49:43,-20.2078,57.7625,68.11,66,30,4.74
74,Huarmey,PE,2022-11-17 00:49:44,-10.0681,-78.1522,65.01,85,100,9.04
75,Carnarvon,AU,2022-11-17 00:49:40,-24.8667,113.6333,67.73,54,100,14.36
76,Marau,BR,2022-11-17 00:49:45,-28.4492,-52.2,58.35,66,0,4.03
77,Estelle,US,2022-11-17 00:49:45,29.8458,-90.1067,52.0,62,75,12.66
78,Saskylakh,RU,2022-11-17 00:49:45,71.9167,114.0833,-25.17,98,100,4.7
79,Tasiilaq,GL,2022-11-17 00:49:46,65.6145,-37.6368,37.56,80,100,28.63
80,Laguna,US,2022-11-17 00:49:46,38.421,-121.4238,66.49,42,0,0.0
81,Meulaboh,ID,2022-11-17 00:49:46,4.1363,96.1285,76.68,87,100,3.96
82,Iqaluit,CA,2022-11-17 00:49:47,63.7506,-68.5145,6.53,78,100,4.61
83,Nosy Varika,MG,2022-11-17 00:49:47,-20.5833,48.5333,71.74,92,83,7.58
84,Goderich,CA,2022-11-17 00:49:48,43.7501,-81.7165,36.91,100,100,4.61
85,Geraldton,AU,2022-11-17 00:49:48,-28.7667,114.6,66.61,59,100,16.11
86,Codrington,AU,2022-11-17 00:49:48,-38.2667,141.9667,58.21,65,89,9.71
87,Touros,BR,2022-11-17 00:49:49,-5.1989,-35.4608,78.69,70,0,12.44
88,Nizhniy Kuranakh,RU,2022-11-17 00:49:49,58.8353,125.4869,10.08,96,100,1.86
89,Itarema,BR,2022-11-17 00:46:45,-2.9248,-39.9167,78.76,71,4,15.57
90,Rikitea,PF,2022-11-17 00:49:50,-23.1203,-134.9692,73.27,89,100,24.02
91,Cherskiy,RU,2022-11-17 00:49:50,68.75,161.3,1.35,97,100,2.8
92,Misratah,LY,2022-11-17 00:50:50,32.3754,15.0925,70.07,39,0,12.59
93,Adrar,MR,2022-11-17 00:50:51,20.5022,-10.0711,73.4,23,0,10.65
94,Lebu,CL,2022-11-17 00:50:51,-37.6167,-73.65,56.52,93,16,8.16
95,Barrow,US,2022-11-17 00:50:52,71.2906,-156.7887,28.42,74,0,19.57
96,Georgetown,MY,2022-11-17 00:48:34,5.4112,100.3354,82.24,93,20,3.44
97,Puerto Tejada,CO,2022-11-17 00:50:52,3.2311,-76.4167,75.15,97,100,2.51
98,Kaitangata,NZ,2022-11-17 00:50:53,-46.2817,169.8464,60.44,74,81,6.17
99,Airai,TL,2022-11-17 00:46:57,-8.9266,125.4092,72.21,60,54,1.28
100,Nahavand,IR,2022-11-17 00:50:53,34.1885,48.377,45.41,84,60,2.82
101,Xiongzhou,CN,2022-11-17 00:50:54,25.1167,114.3,66.92,90,98,3.38
102,Taitung,TW,2022-11-17 00:50:54,22.7583,121.1444,79.07,73,40,2.3
103,Severo-Kurilsk,RU,2022-11-17 00:50:55,50.6789,156.125,35.46,62,100,5.91
104,Barra Patuca,HN,2022-11-17 00:50:55,15.8,-84.2833,78.67,86,100,8.52
105,Vestmannaeyjar,IS,2022-11-17 00:50:55,63.4427,-20.2734,47.61,85,100,35.16
106,Lagoa,PT,2022-11-17 00:50:56,39.05,-27.9833,62.19,66,100,21.54
107,Bandiagara,ML,2022-11-17 00:50:56,14.3501,-3.6104,74.28,16,27,9.98
108,Ust-Tsilma,RU,2022-11-17 00:50:56,65.441,52.1498,-4.54,100,47,3.91
109,Faanui,PF,2022-11-17 00:46:44,-16.4833,-151.75,79.48,72,86,1.68
110,Rio Grande,BR,2022-11-17 00:48:21,-32.035,-52.0986,68.11,63,0,5.55
111,Bluff,NZ,2022-11-17 00:50:57,-46.6,168.3333,58.8,87,100,12.66
112,Ballina,AU,2022-11-17 00:50:58,-28.8667,153.5667,70.02,45,31,11.97
113,Kavaratti,IN,2022-11-17 00:50:58,10.5669,72.642,81.59,72,100,4.56
114,Nanortalik,GL,2022-11-17 00:50:58,60.1432,-45.2371,21.29,78,53,19.04
115,Hovd,MN,2022-11-17 00:50:59,48.0056,91.6419,28.13,48,9,12.48
116,Bumba,CD,2022-11-17 00:50:59,2.1833,22.4667,69.42,98,100,2.3
